ano,sigla_uf,id_municipio,familia_ocupacional_cbo,quantidade_profissionais,soma_carga_horaria_ambulatorial
2021,SP,3522307,3911,3,0
2021,SP,3522802,5135,3,0
2021,SP,3506003,7633,8,0
2021,SP,3544251,6220,1,0
2021,SP,3530805,5121,5,0
2024,SP,3505500,3252,13,8
2024,SP,3549904,9101,3,0
2023,SP,3552205,5131,2,0
2023,SP,3541406,5135,16,0
2021,SP,3556701,5153,5,200
2021,SP,3526902,2392,7,120
2021,SP,3522901,4132,9,0
2021,SP,3550308,2122,3,0
2021,SP,3538709,3252,4,46
2022,SP,3509502,7102,5,0
2021,SP,3540606,3542,1,0
2024,SP,3552205,3011,13,0
2024,SP,3534401,8181,1,0
2022,SP,3526902,7102,3,0
2021,SP,3501608,1422,1,0
2021,SP,3503208,2124,6,0
2021,SP,3550100,1313,1,0
2022,SP,3530607,4122,5,0
2022,SP,3525300,9541,1,0
2021,SP,3510401,7911,7,280
2023,SP,3522208,2525,1,0
2023,SP,3550308,3541,22,0
2023,SP,3534401,3912,5,0
2021,SP,3501608,7155,1,0
2023,SP,3543402,3331,1,0
2023,SP,3513900,8414,32,0
2023,SP,3513801,5153,5,200
2023,SP,3547809,7241,2,0
2021,SP,3524402,5135,15,0
2022,SP,3503208,2142,4,0
2022,SP,3507506,3515,22,0
2021,SP,3543907,5193,2,0
2021,SP,3554102,3542,8,0
2021,SP,3506003,2111,2,0
2021,SP,3550308,1426,7,0
2021,SP,3538709,3172,2,0
2021,SP,3518800,7241,3,0
2022,SP,3513009,2124,8,0
2022,SP,3541406,1210,3,0
2021,SP,3526209,4241,1,0
2021,SP,3530805,3912,1,0
2021,SP,3549904,9153,2,0
2021,SP,3509502,2142,15,0
2022,SP,3548500,2524,18,0
2022,SP,3525300,5135,17,0
2021,SP,3527108,7911,1,36
2021,SP,3530607,1144,3,0
2023,SP,3527207,4201,1,0
2023,SP,3527207,4211,27,0
2023,SP,3529401,5135,28,0
2021,SP,3510500,2543,26,0
2021,SP,3510609,3252,3,0
2023,SP,3515103,2514,1,0
2023,SP,3518800,1114,1,0
2023,SP,3530607,2525,6,0
2023,SP,3534708,3513,2,0
2023,SP,3509502,5153,37,432
2023,SP,3529401,5153,3,120
2023,SP,3530607,3221,9,41
2022,SP,3530508,5193,1,0
2022,SP,3557006,3252,1,0
2024,SP,3548500,9101,3,0
2022,SP,3504107,3221,1,20
2022,SP,3550308,3011,52,0
2022,SP,3503307,8414,4,0
2022,SP,3553708,1234,1,0
2022,SP,3550308,0203,3,0
2022,SP,3511102,2011,2,4
2021,SP,3509502,3542,35,0
2021,SP,3543402,3542,3,0
2021,SP,3548500,1115,2,0
2021,SP,3542602,2021,3,0
2021,SP,3530607,5173,20,0
2022,SP,3524808,2613,1,0
2022,SP,3511102,3111,2,0
2022,SP,3548609,4122,1,0
2024,SP,3541406,7244,4,0
2021,SP,3510500,5173,3,0
2021,SP,3554102,2525,3,0
2021,SP,3549805,5135,16,0
2021,SP,3543303,2522,1,0
2021,SP,3549904,3542,16,0
2021,SP,3511904,1210,1,0
2022,SP,3503208,4102,4,0
2023,SP,3509502,1423,40,12
2023,SP,3549805,3281,2,0
2023,SP,3548500,7652,3,0
2023,SP,3529401,1425,3,0
2022,SP,3516408,1232,1,0
2023,SP,3524808,2124,1,0
2024,SP,3515400,3341,8,0
2024,SP,3550308,3517,6,0
2024,SP,3509502,7152,22,0
2021,SP,3524402,2524,7,0
2021,SP,3506003,2523,15,0
2021,SP,3541406,4201,6,0
2023,SP,3555406,2141,1,0
2023,SP,3540606,2124,2,0
2021,SP,3501608,3225,2,30
2021,SP,3523602,2392,1,20
2021,SP,3556602,3221,1,40
2022,SP,3550308,3514,9,0
2022,SP,3548708,4211,5,0
2023,SP,3522109,1238,1,0
2023,SP,3518701,3252,1,0
2023,SP,3525300,4102,5,0
2024,SP,3554102,7156,5,0
2021,SP,3547809,2131,6,120
2021,SP,3538709,3171,1,0
2021,SP,3548708,2344,1,0
2021,SP,3522406,4102,1,0
2021,SP,3512803,3172,1,0
2022,SP,3548906,5121,16,0
2022,SP,3523404,2344,1,16
2022,SP,3550308,3133,11,0
2022,SP,3546405,7605,1,0
2022,SP,3555406,3252,2,20
2022,SP,3539301,2313,5,0
2022,SP,3552403,5153,5,0
2024,SP,3552205,7832,2,0
2024,SP,3522604,4102,1,0
2021,SP,3503208,2544,41,0
2024,SP,3550308,2332,6,0
2024,SP,3550308,3141,24,0
2024,SP,3510500,3252,2,0
2024,SP,3549805,3541,3,0
