ano,mes,sigla_uf,id_municipio,id_estabelecimento_cnes,tipo_unidade,id_natureza_juridica,quantidade_leito_cirurgico,quantidade_leito_clinico,quantidade_leito_complementar,indicador_atencao_ambulatorial
2024,1,SP,3529005,2048779,2,1244,0,0,0,1
2024,1,SP,3529005,2716984,2,1244,0,0,0,1
2024,1,SP,3529005,2035782,2,1244,0,0,0,1
2024,1,SP,3529005,7172842,2,1244,0,0,0,1
2024,1,SP,3529005,6977618,2,1244,0,0,0,1
2024,1,SP,3529005,9999949,2,1244,0,0,0,1
2024,1,SP,3533700,9258744,2,1244,0,0,0,1
2024,1,SP,3540002,2063867,2,1031,0,0,0,1
2024,1,SP,3541802,4198883,2,1244,0,0,0,1
2024,1,SP,3555000,9205055,2,1244,0,0,0,1
2024,1,SP,3555000,2028425,2,1244,0,0,0,1
2024,1,SP,3536000,3779017,2,1244,0,0,0,1
2024,1,SP,3543808,2819317,2,1244,0,0,0,1
2024,1,SP,3527405,2823942,2,1023,0,0,0,1
2024,1,SP,3527405,6218199,2,1244,0,0,0,1
2024,1,SP,3527405,2824779,2,1244,0,0,0,1
2024,1,SP,3500105,0251402,2,1244,0,0,0,1
2024,1,SP,3516002,7502117,2,1244,0,0,0,1
2024,1,SP,3534906,8015449,2,1023,0,0,0,1
2024,1,SP,3534906,9773991,2,1023,0,0,0,1
2024,1,SP,3521606,4081706,2,1244,0,0,0,1
2024,1,SP,3526001,2750341,2,1244,0,0,0,1
2024,1,SP,3555109,2750767,2,1244,0,0,0,1
2024,1,SP,3531605,7909268,2,1244,0,0,0,1
2024,1,SP,3552205,2054353,2,1244,0,0,0,1
2024,1,SP,3552205,2055686,2,1244,0,0,0,1
2024,1,SP,3552205,9132015,2,1244,0,0,0,1
2024,1,SP,3557006,6958117,2,1244,0,0,0,1
2024,1,SP,3557006,2087553,2,1244,0,0,0,1
2024,1,SP,3557006,2087588,2,1244,0,0,0,1
2024,1,SP,3528403,2049740,2,1244,0,0,0,1
2024,1,SP,3550605,2793377,2,1244,0,0,0,1
2024,1,SP,3519709,2049465,2,1244,0,0,0,1
2024,1,SP,3545308,2749254,2,1244,0,0,0,1
2024,1,SP,3545308,2055643,2,1244,0,0,0,1
2024,1,SP,3545308,2030071,2,1244,0,0,0,1
2024,1,SP,3537909,2064243,2,1244,0,0,0,1
2024,1,SP,3510302,2070561,2,1244,0,0,0,1
2024,1,SP,3522307,2052105,2,1244,0,0,0,1
2024,1,SP,3522307,2042843,2,1244,0,0,0,1
2024,1,SP,3522307,2062690,2,1244,0,0,0,1
2024,1,SP,3500758,2060531,2,1244,0,0,0,1
