id_municipio,ano,qtd_estabelecimentos,total_leitos,qtd_profissionais,populacao,EPC,PPC
3506805,2021,20,22,128,12571,1.5909633282952829,10.182165301089809
3506805,2022,20,22,133,11259,1.7763566924238388,11.812772004618527
3506805,2023,21,17,152,11259,1.8651745270450306,13.500310862421173
3506805,2024,21,17,157,11467,1.8313421121479025,13.6914624574867
3506904,2021,3,0,117,12107,0.24779053440158588,9.663830841661849
3506904,2022,5,0,139,10460,0.4780114722753346,13.288718929254301
3506904,2023,6,0,155,10460,0.5736137667304015,14.818355640535373
3506904,2024,13,0,173,10688,1.2163173652694612,16.186377245508982
3507001,2021,109,35,824,63310,1.7216869372926868,13.015321434212606
3507001,2022,117,36,891,61081,1.9154892683485862,14.587187505116157
3507001,2023,125,31,922,61081,2.0464628935348146,15.094710302712791
3507001,2024,138,31,1052,63415,2.176141291492549,16.58913506268233
3507100,2021,20,10,211,26506,0.7545461404964913,7.960461782237983
3507100,2022,20,10,272,22006,0.9088430428065074,12.3602653821685
3507100,2023,21,10,263,22006,0.9542851949468327,11.951286012905571
3507100,2024,23,10,282,22501,1.0221767921425715,12.532776321052397
3507159,2021,5,0,49,4013,1.24595066035385,12.21031647146773
3507159,2022,6,0,58,3555,1.6877637130801688,16.31504922644163
3507159,2023,6,0,60,3555,1.6877637130801688,16.877637130801688
3507159,2024,7,0,58,3610,1.9390581717451525,16.066481994459835
3507209,2021,2,0,28,839,2.3837902264600714,33.373063170441
3507209,2022,2,0,26,907,2.205071664829107,28.665931642778393
3507209,2023,2,0,31,907,2.205071664829107,34.178610804851154
3507209,2024,2,0,40,928,2.155172413793103,43.10344827586207
3507308,2021,4,0,65,4913,0.8141664970486464,13.230205577040504
3507308,2022,5,0,67,4715,1.0604453870625663,14.209968186638388
3507308,2023,5,0,68,4715,1.0604453870625663,14.4220572640509
3507308,2024,6,0,78,4823,1.2440389798880365,16.172506738544474
3507407,2021,35,14,300,16278,2.1501412949993854,18.42978252856616
3507407,2022,36,14,310,14226,2.5305778152678196,21.791086742584003
3507407,2023,39,14,317,14226,2.741459299873471,22.283143539997187
3507407,2024,39,14,334,14415,2.705515088449532,23.17030870620881
3507456,2021,3,0,51,2713,1.1057869517139698,18.798378179137487
3507456,2022,4,0,56,2713,1.474382602285293,20.641356431994105
3507456,2023,4,0,65,2713,1.474382602285293,23.95871728713601
3507456,2024,4,0,67,2787,1.4352350197344816,24.040186580552565
3507506,2021,671,611,6394,149718,4.481759040329153,42.70695574346438
3507506,2022,708,648,6715,145155,4.877544693603389,46.26089352760842
3507506,2023,732,661,7077,145155,5.0428851916916395,48.75477937377286
